WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 209-962-906
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'F:\\Repos\\Sheriff_Sale\\flask_app\\scrapers\\sheriff_sale.py', reloading
2020-03-17 15:59:01,417:ERROR:1053 HAZEL PLACE RAHWAY NJ 07065
2020-03-17 15:59:01,417:ERROR:1234-1236 COLUMBIA AVENUE AKA   1234 COLUMBIA AVENUE WITH A MAILING ADDRESS OF 1234 COLUMBIA AVE PLAINFIELD NJ 07062
2020-03-17 15:59:01,417:ERROR:1224 WEST 5TH STREET PLAINFIELD NJ 07063
2020-03-17 15:59:01,417:ERROR:22 FRANKLIN STREET VAUXHALL NJ 07088
2020-03-17 15:59:01,417:ERROR:2250 PERSHING ROAD UNION NJ 07083
2020-03-17 15:59:01,417:ERROR:212 YALE TERRACE LINDEN NJ 07036
2020-03-17 15:59:01,417:ERROR:521 COLUMBIA AVENUE HILLSIDE NJ 07205
2020-03-17 15:59:01,418:ERROR:514 KNOPF STREET LINDEN NJ 07036
2020-03-17 15:59:01,418:ERROR:748 STELLE AVENUE A/K/A 746-50 STELLE AVENUE A/K/A 746 STELLE AVENUE, # 750 PLAINFIELD NJ 07060
2020-03-17 15:59:01,418:ERROR:20A CAROLYN TERRACE ROSELLE NJ 07203
2020-03-17 15:59:01,418:ERROR:COMMONLY KNOWN AS 1415 SLOANE BOULEVARD1413 SLOANE BOULEVARD # 15 COMMONLY KNOWN AS 1413-15 SLOANE BOULEVARD PLAINFIELD NJ 07060
2020-03-17 15:59:01,418:ERROR:1243 WHELAN PLACE RAHWAY NJ 07065
2020-03-17 15:59:01,418:ERROR:227 EAST BLANCKE STREET LINDEN NJ 07036
2020-03-17 15:59:01,418:ERROR:26 INDEPENDENCE DRIVE ROSELLE NJ 07203
2020-03-17 15:59:01,418:ERROR:452 LEHIGH AVENUE UNION NJ 07083
2020-03-17 15:59:01,418:ERROR:1215 CLIFTON TERRACE UNION NJ 07083
2020-03-17 15:59:01,418:ERROR:220 LINDEN AVENUE RAHWAY NJ 07065
2020-03-17 15:59:01,418:ERROR:546 BLOY STREET HILLSIDE NJ 07205
2020-03-17 15:59:01,418:ERROR:31-33 SANDFORD AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,418:ERROR:1473 COOLIDGE STREET PLAINFIELD NJ
2020-03-17 15:59:01,418:ERROR:136 SOUTH STILES STREET LINDEN NJ 07036
2020-03-17 15:59:01,418:ERROR:80 IVY STREET CLARK NJ 07066
2020-03-17 15:59:01,418:ERROR:101 COMMONWEALTH AVENUE NEW PROVIDENCE NJ 07974
